type,feature,magnitude,mae_normal,mae_anomaly,snr,maha_dist,is_freeze,detected_recon,detected_maha,detected
drift_end,ejection,0.1,0.04179992154240608,0.04179992154240608,0.9999999760765107,85.11013981819347,True,True,True,True
drift_end,ejection,0.1,0.00797828659415245,0.00797828659415245,0.9999998746598204,3.150940446708867,True,False,False,True
drift_end,ejection,0.1,0.01735049858689308,0.01735049858689308,0.999999942364772,1.8654129730601416,True,False,False,True
drift_end,ejection,0.1,0.04713321849703789,0.04713321849703789,0.9999999787835414,85.01900796943355,True,True,True,True
drift_end,ejection,0.1,0.0054457238875329494,0.0054457238875329494,0.9999998163697174,1.4184271665004737,True,False,False,True
drift_end,ejection,0.1,0.006222564727067947,0.006222564727067947,0.9999998392945861,1.167854372250386,True,False,False,True
drift_end,ejection,0.1,0.007155729923397303,0.007155729923397303,0.999999860251872,3.727306283873992,True,False,False,True
drift_end,ejection,0.1,0.011193007230758667,0.011193007230758667,0.999999910658513,3.9207286855802104,True,False,False,True
drift_end,ejection,0.1,0.01577075384557247,0.01577075384557247,0.9999999365914942,4.184463015074783,True,False,False,True
drift_end,ejection,0.1,0.013132414780557156,0.013132414780557156,0.9999999238525481,3.6077803049957473,True,False,False,True
drift_end,ejection,0.1,0.04786933586001396,0.04786933586001396,0.9999999791098004,84.98155767191646,True,True,True,True
drift_end,ejection,0.1,0.01043387409299612,0.01043387409299612,0.9999999041583313,1.613858957270278,True,False,False,True
drift_end,ejection,0.1,0.00757951894775033,0.00757951894775033,0.999999868065523,2.665848458405487,True,False,False,True
drift_end,ejection,0.1,0.011007079854607582,0.011007079854607582,0.999999909149391,3.6489561142405966,True,False,False,True
drift_end,ejection,0.1,0.03389131650328636,0.03389131650328636,0.9999999704939179,85.36666677043398,True,False,True,True
drift_end,ejection,0.1,0.03644029051065445,0.03644029051065445,0.9999999725578486,85.26178741792269,True,True,True,True
drift_end,ejection,0.1,0.07952257990837097,0.07952257990837097,0.9999999874249554,76.23283334299214,True,True,True,True
drift_end,ejection,0.1,0.004597048740833998,0.004597048740833998,0.9999997824691799,4.527341650964855,True,False,False,True
drift_end,ejection,0.1,0.016747042536735535,0.016747042536735535,0.999999940287968,0.7674316699805296,True,False,False,True
drift_end,ejection,0.1,0.007350265514105558,0.007350265514105558,0.9999998639505114,2.9565434154620434,True,False,False,True
drift_end,ejection,0.1,0.006734694819897413,0.006734694819897413,0.9999998515151943,1.4209151664169057,True,False,False,True
drift_end,ejection,0.1,0.005066226702183485,0.005066226702183485,0.9999998026144779,2.3546803835724224,True,False,False,True
drift_end,ejection,0.1,0.00904683768749237,0.00904683768749237,0.9999998894641505,4.192361522607704,True,False,False,True
drift_end,ejection,0.1,0.005934761371463537,0.005934761371463537,0.9999998315012568,1.518936459432036,True,False,False,True
drift_end,ejection,0.1,0.024539634585380554,0.024539634585380554,0.9999999592495986,22.850735822617978,True,False,True,True
drift_end,ejection,0.1,0.0967850461602211,0.0967850461602211,0.9999999896678254,72.52836780419227,True,True,True,True
